NAME,KEY,H0160001,H0160002,H0160003,H0160004,H0160005,H0160006,H0160007,H0160008,H0160009,H0160010,H0160011,H0160012,H0160013,H0160014,H0160015,H0160016,H0160017,H0040001,P0030001,STATE,COUNTY,TRACT,BLKGRP,BLOCK
Block 1030,36109309729999900220011030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002200,1,1030
Block 1031,36109309729999900220011031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002200,1,1031
Block 1032,36109309729999900220011032,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,36,109,002200,1,1032
Block 1033,36109309729999900220011033,8,5,2,3,0,0,0,0,0,3,2,0,0,0,1,0,0,8,15,36,109,002200,1,1033
Block 1034,36109309729999900220011034,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,36,109,002200,1,1034
Block 1035,36109309729999900220011035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002200,1,1035
Block 1036,36109309729999900220011036,14,12,5,5,1,0,0,1,0,2,1,0,1,0,0,0,0,14,28,36,109,002200,1,1036
Block 1037,36109309729999900220011037,9,8,1,3,1,1,0,1,1,1,0,0,0,0,0,1,0,9,34,36,109,002200,1,1037
Block 1038,36109309729999900220011038,23,21,3,9,2,4,1,2,0,2,0,1,0,0,1,0,0,23,67,36,109,002200,1,1038
Block 1039,36109309729999900220011039,15,15,1,9,3,2,0,0,0,0,0,0,0,0,0,0,0,15,36,36,109,002200,1,1039
Block 1040,36109309729999900220011040,18,13,3,5,2,3,0,0,0,5,4,1,0,0,0,0,0,18,37,36,109,002200,1,1040
Block 1041,36109309729999900220011041,9,9,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,9,21,36,109,002200,1,1041
Block 1042,36109309729999900220011042,10,9,2,5,1,0,1,0,0,1,0,0,0,1,0,0,0,10,24,36,109,002200,1,1042
Block 1043,36109309729999900220011043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002200,1,1043
Block 1044,36109309729999900220011044,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,36,109,002200,1,1044
Block 1045,36109309729999900220011045,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,36,109,002200,1,1045
Block 1046,36109309729999900220011046,6,6,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,6,18,36,109,002200,1,1046
Block 1047,36109309729999900220011047,10,10,0,5,3,0,1,0,1,0,0,0,0,0,0,0,0,10,31,36,109,002200,1,1047
Block 1048,36109309729999900220011048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002200,1,1048
Block 1049,36109309729999900220011049,19,18,4,10,4,0,0,0,0,1,0,0,0,1,0,0,0,19,40,36,109,002200,1,1049
Block 1050,36109309729999900220011050,4,3,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,4,11,36,109,002200,1,1050
Block 1051,36109309729999900220011051,6,5,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,6,9,36,109,002200,1,1051
Block 1052,36109309729999900220011052,4,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,16,36,109,002200,1,1052
Block 1053,36109309729999900220011053,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,36,109,002200,1,1053
Block 1055,36109309729999900220011055,6,6,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,6,14,36,109,002200,1,1055
Block 1056,36109309729999900220011056,6,6,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,6,19,36,109,002200,1,1056
Block 1057,36109309729999900220011057,9,5,0,3,0,1,0,0,1,4,2,0,2,0,0,0,0,9,25,36,109,002200,1,1057
Block 1058,36109309729999900220011058,18,16,1,6,3,3,1,1,1,2,0,1,1,0,0,0,0,18,57,36,109,002200,1,1058
Block 1059,36109309729999900220011059,19,14,2,5,3,3,0,0,1,5,1,2,1,0,0,1,0,19,55,36,109,002200,1,1059
Block 1060,36109309729999900220011060,4,3,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,4,12,36,109,002200,1,1060
Block 1061,36109309729999900220011061,6,5,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,6,14,36,109,002200,1,1061
Block 1062,36109309729999900220011062,13,8,2,2,1,1,2,0,0,5,2,1,0,1,1,0,0,13,36,36,109,002200,1,1062
Block 1063,36109309729999900220011063,2,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,2,8,36,109,002200,1,1063
Block 1064,36109309729999900220011064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002200,1,1064
Block 1065,36109309729999900220011065,22,20,4,7,2,5,1,0,1,2,1,0,0,0,0,0,1,22,64,36,109,002200,1,1065
Block 1066,36109309729999900220011066,15,14,1,7,4,2,0,0,0,1,0,0,0,1,0,0,0,15,39,36,109,002200,1,1066
Block 1067,36109309729999900220011067,10,9,3,3,2,1,0,0,0,1,1,0,0,0,0,0,0,10,20,36,109,002200,1,1067
Block 2001,36109309729999900220022001,3,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,3,6,36,109,002200,2,2001
Block 2015,36109309729999900220022015,18,12,3,6,1,0,2,0,0,6,1,2,2,0,0,0,1,18,46,36,109,002200,2,2015
Block 2016,36109309729999900220022016,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,36,109,002200,2,2016
Block 3000,36109309729999900220033000,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,4,36,109,002200,3,3000
Block 3001,36109309729999900220033001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002200,3,3001
Block 3002,36109309729999900220033002,26,23,4,9,3,4,2,1,0,3,1,1,1,0,0,0,0,26,69,36,109,002200,3,3002
